AbilityID,AbilityName,AbilityEffect
164,Teravolt,Moves can be used regardless of Abilities.
165,Aroma Veil,Protects allies from attacks that limit their move choices.
166,Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.
167,Cheek Pouch,Restores additional HP when a Berry is consumed.
168,Protean,Changes the Pokémon's type to its last used move.
169,Fur Coat,Reduces damage from physical moves.
170,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
171,Bulletproof,Protects the Pokémon from ball and bomb moves.
172,Competitive,Raises Special Attack when the Pokémon's stats are lowered.
173,Strong Jaw,Boosts the power of biting moves.
174,Refrigerate,Turns Normal-type moves into Ice-type moves.
175,Sweet Veil,Prevents the Pokémon and allies from falling asleep.
176,Stance Change,Changes form depending on moves used.
177,Gale Wings,Gives priority to Flying-type moves.
178,Mega Launcher,Boosts the power of aura and pulse moves.
179,Grass Pelt,Boosts the Defense stat in Grassy Terrain.
180,Symbiosis,The Pokémon can pass an item to an ally.
181,Tough Claws,Boosts the power of contact moves.
182,Pixilate,Turns Normal-type moves into Fairy-type moves.
183,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.
184,Aerilate,Turns Normal-type moves into Flying-type moves.
185,Parental Bond,Allows the Pokémon to attack twice.
186,Dark Aura,Raises power of Dark type moves for all Pokémon in battle.
187,Fairy Aura,Raises power of Fairy type moves for all Pokémon in battle.
188,Aura Break,The effects of “Aura” Abilities are reversed.
189,Primordial Sea,Makes it rain heavily when the ability activates.
190,Desolate Land,Turns the sunlight extremely harsh when the ability activates.
191,Delta Stream,Creates strong winds when the ability activates.
192,Stamina,Raises Defense when attacked.
193,Wimp Out,Switches out when HP drops below half.
194,Emergency Exit,The Pokémon, sensing danger, switches out when its HP becomes half or less.
195,Water Compaction,Sharply raises Defense when hit by a Water-type move.
196,Merciless,The Pokémon’s attacks become critical hits if the target is poisoned.
197,Shields Down,Changes stats when HP drops below half.
198,Stakeout,Deals double damage to Pokémon switching in.
199,Water Bubble,Lowers the power of Fire-type moves and prevents burns.
200,Steelworker,Powers up Steel-type moves.
201,Berserk,Raises Special Attack when HP drops below half.
202,Slush Rush,Boosts the Pokémon’s Speed stat in a hailstorm.
203,Long Reach,The Pokémon uses its moves without making contact with the target.
204,Liquid Voice,All sound-based moves become Water-type moves.
205,Triage,Gives priority to restorative moves.
206,Galvanize,Normal-type moves become Electric-type moves and their power boosted.
207,Surge Surfer,Doubles Speed during Electric Terrain. 
208,Schooling,Changes Wishiwashi to School form.
209,Disguise,Avoids damage for one turn.
210,Battle Bond,Transform into Ash-Greninja after causing opponent to faint.
211,Power Construct,Changes form when HP drops below half.
212,Corrosion,The Pokémon can poison Steel and Poison types.
213,Comatose,Prevents all status conditions except Sleep.
214,Queenly Majesty,Prevents use of priority moves.
215,Innards Out,Deals damage upon fainting.
216,Dancer,Copies the foe's Dance moves.
217,Battery,Raises power of teammates' Special moves.
218,Fluffy,Reduces damage from contact moves, but doubles damage from Fire-type moves.
219,Dazzling,Protects the Pokémon from high-priority moves.
220,Soul-Heart,Raises Special Attack when an ally faints.
221,Tangling Hair,Contact with the Pokémon lowers the attacker’s Speed stat.
222,Receiver,Inherits an ally's ability when it faints.
223,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.
224,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
225,RKS System,Changes type depending on held item.
226,Electric Surge,The Pokémon creates an Electric Terrain when it enters a battle.
227,Psychic Surge,The Pokémon creates a Psychic Terrain when it enters a battle.
228,Misty Surge,The Pokémon creates a Misty Terrain when it enters a battle.
229,Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.
230,Full Metal Body,Prevents other Pokémon from lowering its stats.
231,Shadow Shield,Reduces damage when HP is full.
232,Prism Armor,Reduces the power of supereffective attacks taken.
